,season,month,stage,home_defencePressure,home_defenceAggression,home_defenceTeamWidth,away_defencePressure,away_defenceAggression,away_defenceTeamWidth,home_team_win_percentage_against_away,away_team_win_percentage_against_home,draw_percentage,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,VCH,VCD,VCA,label,home_team_api_id,away_team_api_id,home_team_goals_ratio,away_team_goals_ratio
0,2008,3,26,60.0,70.0,60.0,70.0,50.0,70.0,0.5,0.14285714285714285,0.35714285714285715,4.5,3.6,1.75,4.7,3.3,1.7,4.2,3.2,1.7,4.0,3.4,1.72,4.33,3.3,1.7,4.35,3.3,1.75,2.0,8203,8635,1.4615384615384615,1.3846153846153846
1,2014,12,21,46.0,48.0,45.0,60.0,70.0,70.0,0.75,0.125,0.125,8.0,4.5,1.4,6.25,4.33,1.48,6.0,3.9,1.45,6.5,4.2,1.44,6.0,4.33,1.44,7.5,4.6,1.45,0.0,9989,8342,0.45454545454545453,4.333333333333333
2,2011,12,17,60.0,70.0,60.0,70.0,50.0,70.0,0.5,0.14285714285714285,0.35714285714285715,5.5,4.2,1.55,5.5,3.7,1.6,4.6,3.4,1.6,5.0,3.5,1.57,5.5,3.6,1.57,6.0,4.0,1.53,2.0,8203,8635,1.4615384615384615,1.3846153846153846
3,2012,8,3,65.0,60.0,70.0,70.0,50.0,70.0,0.75,0.25,0.0,3.6,3.6,1.95,3.75,3.4,1.85,3.6,3.3,1.85,3.5,3.4,1.91,3.8,3.5,1.83,3.8,3.5,1.95,0.0,9984,8635,0.5333333333333333,1.3846153846153846
4,2014,2,25,60.0,60.0,65.0,60.0,70.0,70.0,0.5714285714285714,0.21428571428571427,0.21428571428571427,3.1,3.5,2.2,3.3,3.4,2.1,3.1,3.3,2.2,3.1,3.5,2.1,2.88,3.5,2.2,3.2,3.7,2.15,2.0,8571,8342,0.9166666666666666,4.333333333333333
5,2014,2,27,45.0,50.0,40.0,60.0,70.0,70.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,2.4,3.5,2.75,2.45,3.4,2.7,2.5,3.3,2.65,2.4,3.4,2.75,2.4,3.3,2.7,2.6,3.5,2.62,2.0,9991,8342,1.3333333333333333,4.333333333333333
6,2014,10,11,65.0,65.0,70.0,60.0,70.0,70.0,0.5714285714285714,0.2857142857142857,0.14285714285714285,2.7,3.4,2.5,2.75,3.4,2.25,2.7,3.1,2.4,2.75,3.4,2.4,2.62,3.3,2.45,2.75,3.4,2.55,0.0,9994,8342,0.75,4.333333333333333
7,2014,11,17,70.0,50.0,70.0,60.0,70.0,70.0,0.07142857142857142,0.5,0.42857142857142855,2.3,3.3,3.1,2.25,3.2,2.9,2.3,3.1,2.8,2.2,3.3,3.1,2.25,3.3,2.9,2.38,3.25,3.12,1.0,8635,8342,1.3846153846153846,4.333333333333333
8,2008,5,34,70.0,65.0,70.0,70.0,50.0,70.0,0.6428571428571429,0.0,0.35714285714285715,8.0,4.0,1.4,6.5,3.9,1.45,6.0,3.9,1.4,6.0,3.5,1.5,7.0,3.75,1.4,6.5,4.0,1.44,0.0,9987,8635,2.111111111111111,1.3846153846153846
9,2014,10,13,45.0,45.0,50.0,60.0,70.0,70.0,0.75,0.25,0.0,4.5,3.75,1.73,3.75,3.4,1.85,4.0,3.2,1.8,4.0,3.5,1.83,4.0,3.75,1.75,4.33,3.75,1.8,0.0,274581,8342,0.55,4.333333333333333
10,2009,12,17,65.0,60.0,70.0,70.0,50.0,70.0,0.75,0.25,0.0,5.25,3.6,1.67,4.8,3.45,1.65,4.4,3.5,1.6,4.33,3.4,1.66,4.8,3.3,1.7,4.5,3.4,1.67,0.0,9984,8635,0.5333333333333333,1.3846153846153846
11,2011,11,15,70.0,60.0,70.0,70.0,50.0,70.0,0.7142857142857143,0.14285714285714285,0.14285714285714285,5.25,3.75,1.65,5.0,3.7,1.65,4.0,3.3,1.7,5.0,3.5,1.57,4.8,3.75,1.62,5.0,3.8,1.67,0.0,10000,8635,0.9375,1.3846153846153846
12,2012,11,14,60.0,70.0,60.0,70.0,50.0,70.0,0.5,0.14285714285714285,0.35714285714285715,5.25,4.0,1.6,5.0,3.8,1.57,4.8,3.6,1.6,5.0,3.75,1.57,5.0,3.75,1.6,5.75,4.1,1.6,0.0,8203,8635,1.4615384615384615,1.3846153846153846
13,2012,8,5,43.0,44.0,50.0,70.0,50.0,70.0,0.5,0.16666666666666666,0.3333333333333333,5.5,3.75,1.62,5.5,4.0,1.5,4.8,3.7,1.55,5.0,3.8,1.57,5.5,3.75,1.55,5.4,4.1,1.62,1.0,1773,8635,0.9411764705882353,1.3846153846153846
14,2009,9,9,60.0,60.0,65.0,70.0,70.0,65.0,0.5714285714285714,0.35714285714285715,0.07142857142857142,4.5,3.5,1.7,4.5,3.65,1.65,3.9,3.3,1.75,4.0,3.4,1.72,5.5,3.5,1.6,4.5,3.4,1.7,0.0,8571,9985,0.9166666666666666,1.0666666666666667
15,2012,12,21,70.0,65.0,70.0,70.0,50.0,70.0,0.6428571428571429,0.0,0.35714285714285715,3.4,3.6,2.05,3.1,3.6,2.0,3.3,3.2,2.0,3.4,3.5,2.0,3.2,3.6,2.0,3.6,3.5,2.05,0.0,9987,8635,2.111111111111111,1.3846153846153846
16,2011,9,7,45.0,50.0,40.0,70.0,50.0,70.0,0.5,0.14285714285714285,0.35714285714285715,2.5,3.3,2.8,2.5,3.4,2.8,2.5,3.2,2.5,2.4,3.25,2.5,2.4,3.2,2.75,2.5,3.4,2.75,0.0,9991,8635,1.3333333333333333,1.3846153846153846
17,2012,3,30,45.0,50.0,40.0,70.0,50.0,70.0,0.5,0.14285714285714285,0.35714285714285715,3.8,3.6,1.91,3.75,3.4,1.85,3.8,3.2,1.85,3.75,3.25,1.8,3.75,3.75,1.8,3.7,3.7,1.95,1.0,9991,8635,1.3333333333333333,1.3846153846153846
18,2012,9,7,46.0,48.0,45.0,70.0,50.0,70.0,0.5,0.0,0.5,5.0,3.8,1.67,5.0,3.6,1.6,4.5,3.5,1.65,4.5,3.5,1.67,4.8,3.5,1.67,5.25,3.8,1.67,1.0,9989,8635,0.45454545454545453,1.3846153846153846
19,2009,2,25,70.0,65.0,70.0,70.0,70.0,65.0,0.42857142857142855,0.35714285714285715,0.21428571428571427,2.4,3.4,2.8,2.55,3.1,2.6,2.45,3.1,2.45,2.5,3.2,2.5,2.5,3.2,2.62,2.38,3.2,2.75,2.0,9987,9985,2.111111111111111,1.0666666666666667
20,2012,11,17,70.0,70.0,70.0,70.0,50.0,70.0,0.9,0.0,0.1,5.5,4.0,1.57,5.0,3.75,1.57,5.5,3.8,1.5,5.5,3.8,1.53,5.5,3.8,1.55,6.0,4.33,1.55,0.0,9993,8635,0.38095238095238093,1.3846153846153846
21,2011,3,29,50.0,50.0,50.0,70.0,50.0,70.0,0.625,0.25,0.125,9.5,4.75,1.33,8.5,4.5,1.35,7.0,4.0,1.35,8.0,4.5,1.29,8.0,4.33,1.36,9.5,4.6,1.36,1.0,9997,8635,0.42105263157894735,1.3846153846153846
22,2009,1,23,60.0,70.0,60.0,70.0,70.0,65.0,0.6428571428571429,0.21428571428571427,0.14285714285714285,3.0,3.3,2.2,3.1,3.3,2.1,2.85,3.3,2.1,2.62,3.3,2.25,3.3,3.2,2.1,3.0,3.2,2.2,1.0,8203,9985,1.4615384615384615,1.0666666666666667
