,home_team_goals_difference,away_team_goals_difference,games_won_home_team,games_won_away_team,games_against_won,games_against_lost,games_draw_home_team,games_draw_away_team,League_21518.0,League_24558.0,B365_Win,B365_Draw,B365_Defeat,BW_Win,BW_Draw,BW_Defeat,label
0,-5.0,-8.0,2.0,1.0,0.0,0.0,1.0,0.0,1,0,0.3956834532374101,0.2877697841726619,0.31654676258992803,0.3897043622079801,0.28778168286127764,0.3225139549307422,1.0
1,4.0,-2.0,4.0,1.0,0.0,0.0,1.0,4.0,1,0,0.6245817532902074,0.23890252063350434,0.13651572607628817,0.6127132076364411,0.25336519126587964,0.13392160109767925,1.0
2,18.0,7.0,6.0,6.0,0.0,0.0,2.0,0.0,1,0,0.39069767441860465,0.2604651162790697,0.34883720930232553,0.38049560351718625,0.2797761790567546,0.33972821742605913,0.0
3,1.0,1.0,2.0,3.0,0.0,0.0,2.0,2.0,1,0,0.3608748481166464,0.28760631834750905,0.3515188335358444,0.3548387096774194,0.2903225806451613,0.3548387096774194,2.0
4,1.0,1.0,3.0,1.0,0.0,0.0,2.0,1.0,1,0,0.6515264333581534,0.22338049143708116,0.12509307520476545,0.6348547717842324,0.22406639004149378,0.14107883817427386,1.0
5,3.0,6.0,3.0,4.0,0.0,0.0,3.0,2.0,1,0,0.288135593220339,0.2796610169491525,0.43220338983050843,0.3014616321559074,0.28319123020706455,0.41534713763702796,2.0
6,-3.0,-12.0,2.0,1.0,0.0,0.0,2.0,2.0,1,0,0.4317656129529684,0.2968388589051658,0.27139552814186585,0.4247787610619469,0.2920353982300885,0.2831858407079646,0.0
7,-4.0,8.0,3.0,5.0,0.0,0.0,2.0,1.0,1,0,0.17419230874804426,0.2521204468721693,0.5736872443797865,0.1809859255351006,0.2500463444892837,0.5689677299756157,0.0
8,-9.0,-2.0,3.0,2.0,0.0,0.0,0.0,2.0,1,0,0.39616613418530355,0.2971246006389776,0.30670926517571884,0.3884711779448622,0.3007518796992481,0.3107769423558897,2.0
9,-7.0,2.0,0.0,3.0,0.0,0.0,3.0,2.0,1,0,0.25496688741721857,0.2897350993377484,0.4552980132450331,0.2671232876712329,0.28767123287671237,0.4452054794520548,2.0
10,-5.0,4.0,2.0,4.0,0.0,0.0,2.0,2.0,1,0,0.31654676258992803,0.2877697841726619,0.3956834532374101,0.32774674115456237,0.28305400372439476,0.38919925512104286,2.0
11,-2.0,14.0,1.0,6.0,0.0,0.0,5.0,2.0,1,0,0.12727272727272726,0.19090909090909092,0.6818181818181818,0.13199426111908177,0.20803443328550936,0.659971305595409,0.0
12,11.0,3.0,7.0,3.0,0.0,0.0,0.0,2.0,1,0,0.8858734297226831,0.07291419767717469,0.04121237260014221,0.8840525925140494,0.08302406955784117,0.03292333792810943,2.0
13,-1.0,1.0,3.0,3.0,0.0,0.0,2.0,3.0,1,0,0.5429892624813857,0.23755780233560622,0.21945293518300807,0.5292717447246527,0.2507076685537828,0.22002058672156458,2.0
14,1.0,5.0,1.0,4.0,0.0,0.0,2.0,3.0,1,0,0.41395531164249316,0.2885143081144649,0.2975303802430419,0.3974358974358974,0.30128205128205127,0.30128205128205127,0.0
15,4.0,-6.0,4.0,2.0,0.0,0.0,2.0,2.0,1,0,0.6818181818181818,0.19090909090909092,0.12727272727272726,0.6690140845070423,0.19718309859154928,0.13380281690140844,2.0
16,-9.0,-5.0,2.0,3.0,0.0,0.0,2.0,2.0,1,0,0.4652011310772599,0.2804889172671714,0.25430995165556874,0.43398484244116475,0.29158356601515756,0.2744315915436777,0.0
17,9.0,-7.0,6.0,4.0,0.0,0.0,1.0,0.0,1,0,0.7784120394395433,0.15827711468604044,0.06331084587441618,0.7612985359643539,0.16549968173138127,0.0732017823042648,2.0
18,-4.0,-5.0,2.0,1.0,0.0,0.0,2.0,3.0,1,0,0.5198860435545397,0.2798210175602376,0.20029293888522268,0.5052005943536404,0.274888558692422,0.21991084695393762,1.0
19,-8.0,0.0,1.0,3.0,0.0,0.0,1.0,2.0,1,0,0.3067869752844252,0.27971753628874063,0.41349548842683403,0.32114989733059546,0.2739219712525667,0.40492813141683776,0.0
20,2.0,-11.0,4.0,1.0,0.0,0.0,2.0,1.0,1,0,0.6043404859191113,0.24968804286658017,0.14597147121430842,0.5931229795078682,0.2516765075209062,0.1552005129712255,2.0
21,16.0,-3.0,7.0,3.0,0.0,0.0,2.0,2.0,1,0,0.8677685950413222,0.08677685950413223,0.04545454545454545,0.8551239929789819,0.094918763220667,0.049957243800351055,2.0
22,-1.0,-4.0,3.0,1.0,0.0,0.0,2.0,5.0,1,0,0.5155482815057284,0.27250409165302786,0.2119476268412439,0.49199304051414977,0.29212086780527646,0.2158860916805738,2.0
23,0.0,15.0,3.0,8.0,0.0,0.0,3.0,0.0,1,0,0.10612244897959185,0.15918367346938778,0.7346938775510204,0.09514304723885564,0.17298735861610115,0.7318695941450433,1.0
24,7.0,0.0,5.0,4.0,0.0,0.0,3.0,2.0,1,0,0.31654676258992803,0.2877697841726619,0.3956834532374101,0.31924882629107976,0.28169014084507044,0.39906103286384975,1.0
25,-7.0,-1.0,2.0,1.0,0.0,0.0,2.0,2.0,1,0,0.41585886002326483,0.28984102365257847,0.29430011632415665,0.40639082343301924,0.29209340434248254,0.3015157722244981,2.0
26,-4.0,5.0,4.0,5.0,0.0,0.0,2.0,2.0,1,0,0.28754298815437523,0.2711119602598395,0.44134505158578524,0.2920353982300885,0.2831858407079646,0.4247787610619469,1.0
